,Values(Km^2),date
685,2010.75,2011-11-21
686,4973.25,2011-11-22
687,6752.0,2011-11-23
688,1361.25,2011-11-24
689,1609.0,2011-11-25
690,516.5,2011-11-26
691,6581.25,2011-11-27
692,6450.25,2011-11-28
693,6304.25,2011-11-29
694,6735.5,2011-11-30
695,2080.5,2011-12-01
696,6645.5,2011-12-02
697,2072.25,2011-12-03
698,6534.75,2011-12-04
699,6698.75,2011-12-05
700,5949.25,2011-12-06
701,6754.0,2011-12-07
702,6052.5,2011-12-08
703,6742.25,2011-12-09
704,1017.5,2011-12-10
705,6693.75,2011-12-11
706,1879.75,2011-12-12
707,6721.5,2011-12-13
708,3504.5,2011-12-14
709,0.5,2011-12-15
710,123.75,2011-12-16
711,2033.5,2011-12-17
712,5795.25,2011-12-18
713,2083.5,2011-12-19
714,6731.25,2011-12-20
715,6688.0,2011-12-21
716,3529.0,2011-12-22
717,403.5,2011-12-23
718,4611.0,2011-12-24
719,2971.0,2011-12-25
720,1484.25,2011-12-26
721,5103.25,2011-12-27
722,2489.25,2011-12-28
723,6687.5,2011-12-29
724,6759.75,2011-12-30
725,194.75,2011-12-31
726,132.0,2012-01-01
727,288.5,2012-01-02
728,2589.25,2012-01-03
729,1587.5,2012-01-04
730,6680.5,2012-01-05
731,859.0,2012-01-06
732,6491.0,2012-01-07
733,124.75,2012-01-08
734,2344.0,2012-01-09
735,6738.0,2012-01-10
736,824.5,2012-01-11
737,6277.5,2012-01-12
738,1168.5,2012-01-13
739,4832.5,2012-01-14
740,6727.75,2012-01-15
741,6271.5,2012-01-16
742,6709.25,2012-01-17
743,139.75,2012-01-18
744,6600.5,2012-01-19
745,17.5,2012-01-20
746,2579.5,2012-01-21
747,4992.5,2012-01-22
748,3806.5,2012-01-23
749,448.75,2012-01-24
750,441.75,2012-01-25
751,509.0,2012-01-26
752,1145.5,2012-01-27
753,565.5,2012-01-28
754,1388.0,2012-01-29
755,6318.0,2012-01-30
756,0.0,2012-01-31
757,739.75,2012-02-01
758,424.5,2012-02-02
759,4580.5,2012-02-03
760,6491.25,2012-02-04
761,2608.5,2012-02-05
762,6285.5,2012-02-06
763,0.0,2012-02-07
764,126.5,2012-02-08
765,2226.5,2012-02-09
766,558.75,2012-02-10
767,5804.25,2012-02-11
768,2161.25,2012-02-12
769,6149.75,2012-02-13
770,1365.25,2012-02-14
771,11.75,2012-02-15
772,2.25,2012-02-16
773,4374.0,2012-02-17
774,18.25,2012-02-18
775,260.5,2012-02-19
776,4357.75,2012-02-20
777,1963.5,2012-02-21
778,6172.5,2012-02-22
779,1068.5,2012-02-23
780,5276.75,2012-02-24
781,0.0,2012-02-25
782,2857.25,2012-02-26
783,6255.25,2012-02-27
784,1980.5,2012-02-28
785,4451.75,2012-02-29
786,0.0,2012-03-01
787,0.0,2012-03-02
788,280.25,2012-03-03
789,361.0,2012-03-04
790,1824.75,2012-03-05
791,3447.75,2012-03-06
792,2733.0,2012-03-07
793,3316.5,2012-03-08
794,5829.25,2012-03-09
795,3206.75,2012-03-10
796,5566.0,2012-03-11
797,2644.75,2012-03-12
798,2646.25,2012-03-13
799,616.25,2012-03-14
800,547.75,2012-03-15
801,623.25,2012-03-16
802,0.25,2012-03-17
803,5521.75,2012-03-18
804,6441.25,2012-03-19
805,6632.0,2012-03-20
806,6693.0,2012-03-21
807,6515.25,2012-03-22
808,5557.25,2012-03-23
809,6570.0,2012-03-24
810,6764.5,2012-03-25
811,4712.5,2012-03-26
812,133.0,2012-03-27
813,929.75,2012-03-28
814,2828.75,2012-03-29
815,18.5,2012-03-30
816,1224.0,2012-03-31
817,5802.25,2012-04-01
818,1814.25,2012-04-02
819,5961.5,2012-04-03
820,5458.5,2012-04-04
821,6188.75,2012-04-05
822,4291.5,2012-04-06
823,6779.25,2012-04-07
